Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35,Column_36,Column_37,Column_38,Column_39,Column_40,Column_41,Column_42,Column_43
10814,CA4572371915,1FMFU16W14LA93031,AT-001,4572371915,4572371915,14859,EDT,7/20/25 7:16:37 AM,7/20/25 4:16:37 AM MST,2025-07-20T11:16:37+00:00,2025-07-30 14:56:21,Jul 30 2025 04:20:56,41.9523493,-70.6571703,994795.0,Plymouth Fire,"114 Sandwich St, Plymouth, MA 02360",299,WNW,off,0,0,0,0,Stopped 10 days,red_dot,116045.1,13.4,0,unassigned,07/20/2025 04:16:37,[],[],,,,,,,,,
10815,CA3672255957,1FDBW2XG3PKA39911,BA-002,3672255957,3672255957,0,EDT,7/30/25 2:55:48 PM,7/30/25 11:55:48 AM MST,2025-07-30T18:55:48+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:48,42.0985577,-70.7650771,,,"13 Winter St, Pembroke, MA 02359-1987",347,NNW,on,12,12,12,0,12 mph NNW (max),green_dot,87550.6,13.7,5570033,assigned,07/30/2025 11:54:34,[],[],MARY,FALCO,mfalco,False,,Weymouth,2.0,BLS,
10816,CA3672241241,1FDBW2XG6PKA45556,BA-003,3672241241,3672241241,17,EDT,7/30/25 2:38:54 PM,7/30/25 11:38:54 AM MST,2025-07-30T18:38:54+00:00,2025-07-30 14:56:21,Jul 30 2025 11:38:54,42.3343168,-71.071973,999902.0,BMC,"750 Albany St, Boston, MA 02118-2520",251,WSW,off,0,0,0,0,Stopped 17 min,yellow_dot,99994.8,13.0,0,unassigned,07/30/2025 11:38:54,[],[],,,,,,Brockton Main St.,3.0,BLS,
10817,CA3672234203,1FDBW2XM8HKA28619,BA-004,3672234203,3672234203,6,EDT,7/30/25 2:49:33 PM,7/30/25 11:49:33 AM MST,2025-07-30T18:49:33+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:40,41.6258574,-70.9383953,966831.0,St Luke's,"361 Allen St, New Bedford, MA 02740-2107",302,WNW,on,0,0,0,0,Idle stop for 6 min,blue_dot,230779.2,13.7,5563875,assigned,07/30/2025 05:24:00,[],[],Carlos,Velez,4207,False,,New Bedford,4.0,BLS,
10818,CA3672239168,1FDBW2XM4HKA19965,BA-005,3672239168,3672239168,79,EDT,7/30/25 1:36:22 PM,7/30/25 10:36:22 AM MST,2025-07-30T17:36:22+00:00,2025-07-30 14:56:21,Jul 30 2025 10:36:22,42.0543113,-71.0133817,994783.0,Brewster Brockton Main St,"1555 Main St, Brockton, MA 02301-7113",74,ENE,off,0,0,0,0,"Stopped 1 hour, 19 min",red_dot,240516.8,12.1,0,unassigned,07/30/2025 10:36:22,[],[],,,,,,Wakefield,1.0,BLS,
10819,CA3672239130,1FDBW2XM1HKA19969,BA-006,3672239130,3672239130,0,EDT,7/30/25 2:56:16 PM,7/30/25 11:56:16 AM MST,2025-07-30T18:56:16+00:00,2025-07-30 14:56:21,Jul 30 2025 11:56:16,42.2842142,-71.8074622,,,"Grove St, Worcester, MA 01605",301,WNW,on,24,14,9,0,9 mph WNW (24 max),green_dot,233621.5,13.6,5564848,assigned,07/30/2025 11:52:12,[],[],Jennifer,Cogliandro,8892,False,,Framingham,6.0,BLS,
10820,CA3672255481,1FDYR2XM1GKB03760,BA-007,3672255481,3672255481,5,EDT,7/30/25 2:51:16 PM,7/30/25 11:51:16 AM MST,2025-07-30T18:51:16+00:00,2025-07-30 14:56:21,Jul 30 2025 11:51:16,42.4696485,-70.9407469,,,"330 Essex St, Lynn, MA 01902-2371",57,ENE,off,0,0,0,25,Stopped 5 min,yellow_dot,367906.1,12.6,0,unassigned,07/30/2025 11:51:16,[],[],,,,,,Wakefield,1.0,BLS,Spare
10821,CA3672233597,1FDYR2XMXGKB03756,BA-008,3672233597,3672233597,0,EDT,7/30/25 2:55:30 PM,7/30/25 11:55:30 AM MST,2025-07-30T18:55:30+00:00,2025-07-30 14:56:21,Jul 30 2025 11:55:30,41.8447699,-71.4109364,,,"I-95, Providence, RI 02904",359,N,on,52,45,46,55,46 mph N (52 max),green_dot,277318.0,13.6,5565384,assigned,07/30/2025 05:31:21,[],[],Paulo,Goncalves,10618,False,,Attleboro,4.0,BLS,
10822,CA3672239939,1FDYR2XM1GKB03757,BA-009,3672239939,3672239939,6,EDT,7/30/25 2:50:14 PM,7/30/25 11:50:14 AM MST,2025-07-30T18:50:14+00:00,2025-07-30 14:56:21,Jul 30 2025 11:56:14,42.3490414,-71.064445,,,"821 Washington St, Boston, MA 02111-1519",197,SSW,on,0,0,0,0,Idle stop for 6 min,blue_dot,275452.4,13.8,5572031,assigned,07/30/2025 11:50:30,[],[],Conor,Kelley,13591,False,,Wakefield,1.0,BLS,
10823,CA3672248338,1FDYR2XM8GKB03755,BA-010,3672248338,3672248338,300,EDT,7/30/25 9:55:39 AM,7/30/25 6:55:39 AM MST,2025-07-30T13:55:39+00:00,2025-07-30 14:56:21,Jul 30 2025 11:35:02,42.2062387,-70.957294,994995.0,Brewster Weymouth,"25 Main St, Weymouth, MA 02188-2808",0,,off,0,0,0,0,Stopped 5 hrs,red_dot,462361.9,12.5,0,unassigned,07/30/2025 06:55:39,[],[],,,,,,Weymouth,1.0,BLS,
